event_id,site_id,block_id,visit_date,recovered_sample_units,confirmed_target_count,confirmed_target_detected,count_per_recovered_sample,median_mife_mobile_relative_index,lower_mife_mobile_relative_index,upper_mife_mobile_relative_index,fsb_management_window,independent_test_set
MIFE-FV-127,dorey,,2025-07-14,8,0,0,0.0,3.5518957709681733,2.092573883838019,28.201587657347144,none_within_90d,1
MIFE-FV-128,knockrow,,2025-07-14,11,0,0,0.0,3.5518957709681733,2.092573883838019,28.201587657347144,none_within_90d,1
MIFE-FV-129,malua,Malua_Young,2025-07-15,13,2,1,0.15384615384615385,5.255016566479249,3.096328173833918,42.234392531051014,none_within_90d,1
MIFE-FV-133,dorey,Malua_Young,2025-08-14,9,0,0,0.0,2.2826181647925727,1.3542143742913384,16.527313963536464,none_within_90d,1
MIFE-FV-134,malua,Malua_Young,2025-08-15,10,0,0,0.0,3.366428589855184,1.9905344492181685,24.309142161321475,none_within_90d,1
MIFE-FV-135,dorey,,2025-09-16,9,0,0,0.0,1.7804678089322683,1.2100785029144872,4.71620280571213,none_within_90d,1
MIFE-FV-136,malua,Malua_0ld,2025-09-16,12,0,0,0.0,2.2555862663227577,1.5583231778093554,6.604635435182241,none_within_90d,1
MIFE-FV-139,knockrow,,2025-09-18,12,0,0,0.0,2.5472058794533763,1.4594963753365704,6.4402187736366665,none_within_90d,1
MIFE-FV-141,dorey,,2025-10-22,11,0,0,0.0,5.5480498272940455,2.7562128592640023,6.692969914898046,0-7d,1
MIFE-FV-142,knockrow,,2025-10-22,15,0,0,0.0,5.5480498272940455,2.7562128592640023,6.692969914898046,none_within_90d,1
MIFE-FV-143,malua,Malua_Young,2025-10-22,12,0,0,0.0,8.077916890894581,4.0138948187789,9.53184386170367,none_within_90d,1
MIFE-FV-147,malua,Malua_Young,2025-12-08,12,1,1,0.08333333333333333,8.15246190328061,7.353534720547176,10.118459965933548,none_within_90d,1
MIFE-FV-148,dorey,,2025-12-10,9,1,1,0.1111111111111111,9.093308911542003,8.259751052441569,11.463541183747084,22-90d,1
MIFE-FV-149,knockrow,,2025-12-10,8,1,1,0.125,9.093308911542003,8.259751052441569,11.463541183747084,none_within_90d,1
MIFE-FV-153,dorey,,2026-02-17,10,2,1,0.2,57.97408328396827,53.79417203469449,62.40522920525117,none_within_90d,1
MIFE-FV-154,knockrow,,2026-02-17,13,0,0,0.0,57.97408328396827,53.79417203469449,62.40522920525117,8-21d,1
MIFE-FV-155,malua,Malua_0ld,2026-02-18,8,0,0,0.0,62.07789843737401,54.822786712671856,67.49281949700301,none_within_90d,1
MIFE-FV-156,malua,Malua_Young,2026-02-18,3,0,0,0.0,62.07789843737401,54.822786712671856,67.49281949700301,none_within_90d,1
