site,sample_date,raw_visit_date,date_source,containers_sampled,FSB,BSB,Amblypelta_total,last_fsb_mgmt_date,days_since_fsb_mgmt,ensemble_scenarios,mobile_index_min,mobile_index_median,mobile_index_max,adult_share_min,adult_share_median,adult_share_max,diagnostic_flags
malua,2024-08-02,2024-08-02,phenology-date proxy,28,0,0,0,,,9,0.837505827176389,1.790129449397363,31.950233356943645,0.9962766074115825,0.9984457935252851,1.0,no strong screening flag
malua,2024-09-04,2024-09-06,positive-container matched,33,1,0,1,,,9,0.898880595578375,1.8994225557378657,12.093684411081037,0.3008680481696187,0.5833732207310096,0.9400437025618329,positive detection during low modelled relative pressure
malua,2024-10-10,2024-10-10,phenology-date proxy,31,0,0,0,,,9,1.8135268759668566,2.508205205449314,6.956758049073735,0.0,0.17073488511331691,0.2342976624645523,no strong screening flag
malua,2024-11-05,2024-11-07,positive-container matched,33,1,0,1,,,9,0.6500924459656617,2.5542050861907715,3.8335572725621514,0.06353465331305283,0.08982728149471277,0.3165595050350429,positive detection during low modelled relative pressure
malua,2024-12-15,2024-12-15,phenology-date proxy,26,0,0,0,,,9,2.6697942730947695,3.4306171129007628,7.847543777991096,0.04150996900125766,0.1382886338649448,0.26325581801425385,no strong screening flag
malua,2025-01-15,2025-01-16,positive-container matched,31,1,0,1,,,9,8.375258435383866,12.480316924095103,14.647568007831696,0.05074830268707221,0.06913768151903792,0.1370842126393976,no strong screening flag
malua,2025-02-11,2025-02-14,positive-container matched,29,1,0,1,,,9,21.645454786121867,24.01349095643992,28.60840996452506,0.0628038986680192,0.08095753712490594,0.14642760303298358,no strong screening flag
knockrow,2024-07-30,2024-08-02,positive-container matched,15,1,0,1,,,9,0.47496661520280586,1.0421392004898828,15.6477336583816,0.9855149624895008,0.9941478375088162,1.0,lower recovered sampling effort; positive detection during low modelled relative pressure
knockrow,2024-09-06,2024-09-06,phenology-date proxy,28,0,0,0,,,9,0.550369627766191,1.142718029451652,5.501688754225162,0.26363219452805503,0.5222288987842566,0.8875518366073106,no strong screening flag
knockrow,2024-10-08,2024-10-10,positive-container matched,35,2,0,2,,,9,1.3271972881372454,1.7757809251506558,5.03370194258224,0.014985813099712276,0.1296873438243385,0.18672879078051002,positive detection during low modelled relative pressure
knockrow,2024-11-07,2024-11-07,phenology-date proxy,27,0,0,0,2024-10-29,9,9,0.45627031424451786,1.7897062512818516,2.893984066995106,0.05379588163366509,0.09063441677587934,0.30972533438596767,management-confounded
knockrow,2024-12-13,2024-12-15,positive-container matched,15,1,0,1,2024-12-06,7,9,2.121508952487516,2.6642257613248828,5.261773808962835,0.04460583394684739,0.12831485144900434,0.2533957030631546,management-confounded; lower recovered sampling effort; positive detection during low modelled relative pressure
knockrow,2025-01-16,2025-01-16,phenology-date proxy,19,0,0,0,2024-12-06,41,9,6.3152993803583,10.773896150469708,13.395447838480175,0.04421108431823279,0.06222667324225193,0.13900902958592992,no strong screening flag
knockrow,2025-02-13,2025-02-13,phenology-date proxy,24,0,0,0,2025-01-17,27,9,21.118172096449975,22.30593058806992,28.485586600299772,0.07619287213418388,0.08788911141225295,0.12032057334477742,no strong screening flag
dorey,2024-08-02,2024-08-02,phenology-date proxy,17,0,0,0,,,9,0.461455850754513,1.0053486040799815,14.982604062096662,0.9710104135813198,0.986894946171657,1.0,no strong screening flag
dorey,2024-09-05,2024-09-05,phenology-date proxy,24,0,0,0,,,9,0.546906064418676,1.1493866332493818,5.633136774719338,0.2593781327715624,0.5267710336904063,0.9061340973936953,no strong screening flag
dorey,2024-10-10,2024-10-10,phenology-date proxy,29,0,0,0,2024-10-06,4,9,1.3022875751859322,1.6393317738502329,4.386151814435998,0.0,0.1266932601164763,0.17525915216539725,management-confounded
dorey,2024-11-07,2024-11-07,phenology-date proxy,13,0,0,0,2024-10-06,32,9,0.45627031424451786,1.7897062512818516,2.893984066995106,0.05379588163366509,0.09063441677587934,0.30972533438596767,lower recovered sampling effort
dorey,2024-12-15,2024-12-15,phenology-date proxy,12,0,0,0,2024-11-08,37,9,2.4419859466992264,3.080424265616668,6.2371465602462095,0.03954962367226363,0.1165509749585332,0.21289137671767827,lower recovered sampling effort
dorey,2025-01-16,2025-01-16,positive-container matched,18,1,0,1,2024-11-08,69,9,6.3152993803583,10.773896150469708,13.395447838480175,0.04421108431823279,0.06222667324225193,0.13900902958592992,no strong screening flag
dorey,2025-02-14,2025-02-14,phenology-date proxy,17,0,0,0,2025-01-20,25,9,20.605590348700098,21.7405137028152,27.856702569979593,0.08064359759194577,0.09669233109273691,0.12904195017325917,no strong screening flag
