site,activation_profile,adult_age_band,initial_total_adults,start_date,end_date,first_reproduction,peak_mobile_date,peak_mobile_population,peak_total_date,peak_total_population,final_population
malua,conservative,young,10.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,469.01910920515587,2025-04-01,777.5254415639932,58.36181810802363
malua,conservative,young,100.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,4690.191092051553,2025-04-01,7775.254415639927,583.6181810802357
malua,conservative,young,1000.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,46901.91092051557,2025-04-01,77752.54415639932,5836.181810802363
malua,conservative,mixed,10.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,279.17318133748904,2025-04-01,449.24782773470974,34.060420840207385
malua,conservative,mixed,100.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,2791.7318133748936,2025-04-01,4492.4782773471015,340.60420840207416
malua,conservative,mixed,1000.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,27917.318133748908,2025-04-01,44924.78277347098,3406.04208402074
malua,conservative,older,10.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,19.409770369187537,2025-03-31,28.426652577706033,2.504078054411098
malua,conservative,older,100.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,194.0977036918754,2025-03-31,284.26652577706056,25.040780544111
malua,conservative,older,1000.0,2024-07-01,2025-06-30,2024-08-16,2025-04-01,1940.9770369187527,2025-03-31,2842.6652577706027,250.40780544110976
malua,central,young,10.0,2024-07-01,2025-06-30,2024-07-06,2025-04-14,591.0674767468836,2025-04-06,1002.1362258810232,83.38360631564908
malua,central,young,100.0,2024-07-01,2025-06-30,2024-07-06,2025-04-14,5910.674767468831,2025-04-06,10021.36225881022,833.8360631564899
malua,central,young,1000.0,2024-07-01,2025-06-30,2024-07-06,2025-04-14,59106.74767468836,2025-04-06,100213.62258810227,8338.360631564905
malua,central,mixed,10.0,2024-07-01,2025-06-30,2024-07-06,2025-04-14,347.07296308872446,2025-04-01,588.1592098077916,50.01410858624408
