temperature_c,female_age_days,eggs_per_female_day
20,0,0
20,1,0.287449393
20,2,0.287449393
20,3,0.287449393
20,4,0.287449393
20,5,0.287449393
20,6,0.287449393
20,7,0.287449393
20,8,0.287449393
20,9,0.287449393
20,10,0.287449393
20,11,0.287449393
20,12,0.287449393
20,13,0.287449393
20,14,0.61622807
20,15,0.61622807
20,16,0.61622807
20,17,0.61622807
20,18,0.61622807
20,19,0.61622807
20,20,6.083333333
20,21,0.714285714
20,22,0.714285714
20,23,1.785714286
20,24,1.785714286
20,25,1.785714286
20,26,5.7
20,27,1.75
20,28,1.683333333
20,29,2.1
20,30,2.1
20,31,2.066666667
20,32,3.35
20,33,3.25
20,34,2.133333333
20,35,2.133333333
20,36,1.983333333
20,37,2.55
20,38,2.7
20,39,2.533333333
20,40,2.333333333
20,41,2.333333333
20,42,2.3
20,43,2.3
20,44,2.25
20,45,2.25
20,46,2.2
20,47,2.2
20,48,2.65
20,49,2.65
20,50,2.45
20,51,2.45
20,52,2.85
20,53,2.85
20,54,2.05
20,55,2.05
20,56,2.35
20,57,2.35
20,58,2.3
20,59,2.3
20,60,2.5
20,61,2.5
20,62,2.8
20,63,2.8
20,64,2
20,65,2
20,66,2.15
20,67,2.15
20,68,2.05
20,69,2.05
20,70,2.15
20,71,2.15
20,72,2.3125
20,73,2.3125
20,74,2.8125
20,75,2.8125
20,76,2.3125
20,77,2.3125
20,78,1.8125
20,79,1.8125
20,80,1.857142857
20,81,1.857142857
20,82,2.30952381
20,83,2.30952381
20,84,2.095238095
20,85,1.904761905
20,86,1.833333333
20,87,1.833333333
20,88,2.119047619
20,89,2.119047619
20,90,1.833333333
20,91,1.452380952
20,92,1.30952381
20,93,1.30952381
20,94,1.5
20,95,1.5
20,96,1.883928571
20,97,1.883928571
20,98,1.098214286
20,99,1.098214286
20,100,1.8125
20,101,1.8125
20,102,1.267857143
20,103,1.267857143
20,104,1.267857143
20,105,1.267857143
20,106,1.267857143
20,107,1.267857143
20,108,1.267857143
20,109,1.267857143
20,110,1.267857143
20,111,1.267857143
20,112,1.153769841
20,113,1.153769841
20,114,1.153769841
20,115,1.153769841
20,116,1.153769841
20,117,1.153769841
20,118,0.53968254
20,119,0.53968254
20,120,0.53968254
20,121,0.734126984
20,122,0.734126984
20,123,0.734126984
20,124,0.734126984
20,125,1.198412698
20,126,1.198412698
20,127,2.357142857
20,128,2.357142857
20,129,2.178571429
20,130,2.178571429
20,131,2.107142857
20,132,2.107142857
20,133,1.5
20,134,1.5
20,135,3.4375
20,136,3.4375
20,137,3.4375
20,138,3.4375
20,139,0
20,140,0
20,141,0
20,142,0
20,143,0
20,144,0
20,145,0
20,146,0
20,147,0
20,148,0
20,149,0
20,150,0
20,151,0
20,152,0
20,153,0
20,154,0
20,155,0
20,156,0
20,157,0
20,158,0
20,159,0
20,160,0
25,0,4.6
25,1,1.088333333
25,2,1.355
25,3,1.221666667
25,4,1.088333333
25,5,1.221666667
25,6,1.421666667
25,7,0.955
25,8,1.755
25,9,1.946666667
25,10,1.546666667
25,11,2.866666667
25,12,2.4
25,13,2.733333333
25,14,3.6
25,15,2.133333333
25,16,2.866666667
25,17,2.333333333
25,18,3.6
25,19,3.066666667
25,20,3.333333333
25,21,3.733333333
25,22,3.866666667
25,23,3.538461538
25,24,3.75
25,25,3.166666667
25,26,4
25,27,3.727272727
25,28,3.090909091
25,29,3
25,30,2.384615385
25,31,5.230769231
25,32,3.642857143
25,33,4.642857143
25,34,3.857142857
25,35,4.384615385
25,36,4
25,37,2.769230769
25,38,2.769230769
25,39,3.230769231
25,40,3.461538462
25,41,2.307692308
25,42,3.583333333
25,43,2.5
25,44,2.083333333
25,45,2.166666667
25,46,1.833333333
25,47,3.090909091
25,48,2
25,49,3.181818182
25,50,3.875
25,51,3.5
25,52,3.875
25,53,3.5
25,54,2.875
25,55,3
25,56,3.285714286
25,57,0.714285714
25,58,1.142857143
25,59,3.166666667
25,60,3.166666667
25,61,1.333333333
25,62,2.5
25,63,3.25
25,64,1.75
25,65,1.75
25,66,3.5
25,67,4.75
25,68,2.5
25,69,3
25,70,2.5
25,71,2
25,72,2.25
25,73,2.25
25,74,4.25
25,75,4.5
25,76,1.25
25,77,1.5
25,78,1.75
25,79,2.75
25,80,2.25
25,81,2.25
25,82,1.5
25,83,3.75
25,84,10
25,85,6
25,86,2
25,87,1
25,88,1
25,89,1
25,90,0.5
25,91,0
25,92,14
25,93,2
25,94,1
25,95,2
25,96,4
25,97,2
25,98,2
25,99,2
25,100,2
25,101,1
25,102,2
25,103,2
25,104,0
25,105,0
25,106,0
25,107,0
25,108,0
25,109,0
25,110,0
25,111,0
25,112,0
25,113,0
25,114,0
25,115,0
25,116,0
25,117,0
25,118,0
25,119,0
25,120,0
25,121,0
25,122,0
25,123,0
25,124,0
25,125,0
25,126,0
25,127,0
25,128,0
25,129,0
25,130,0
25,131,0
25,132,0
25,133,0
25,134,0
25,135,0
25,136,0
25,137,0
25,138,0
25,139,0
25,140,0
25,141,0
25,142,0
25,143,0
25,144,0
25,145,0
25,146,0
25,147,0
25,148,0
25,149,0
25,150,0
25,151,0
25,152,0
25,153,0
25,154,0
25,155,0
25,156,0
25,157,0
25,158,0
25,159,0
25,160,0
30,0,0
30,1,0.5
30,2,0.5
30,3,0.5
30,4,0.5
30,5,0.5
30,6,0.5
30,7,0.5
30,8,0.5
30,9,6
30,10,3.571428571
30,11,3.571428571
30,12,2.75
30,13,2.75
30,14,3.333333333
30,15,3.333333333
30,16,2.4
30,17,2.4
30,18,2.6
30,19,2.6
30,20,3
30,21,3
30,22,2.377777778
30,23,2.377777778
30,24,2.377777778
30,25,3.433333333
30,26,3.433333333
30,27,2.733333333
30,28,2.733333333
30,29,3.166666667
30,30,3.166666667
30,31,2.75
30,32,2.75
30,33,2.964285714
30,34,2.964285714
30,35,3
30,36,3
30,37,2.428571429
30,38,2.428571429
30,39,3.321428571
30,40,3.321428571
30,41,1.5
30,42,1.5
30,43,2.142857143
30,44,2.142857143
30,45,2.238095238
30,46,2.238095238
30,47,2.238095238
30,48,1.607142857
30,49,1.607142857
30,50,1.535714286
30,51,1.535714286
30,52,1.333333333
30,53,1.333333333
30,54,1
30,55,1
30,56,1
30,57,1
30,58,1.090909091
30,59,1.090909091
30,60,1.090909091
30,61,0.909090909
30,62,0.909090909
30,63,0.878787879
30,64,0.878787879
30,65,0.878787879
30,66,1.363636364
30,67,1.363636364
30,68,0.636363636
30,69,0.636363636
30,70,0.636363636
30,71,1.15
30,72,1.15
30,73,1
30,74,1
30,75,1
30,76,0.733333333
30,77,0.733333333
30,78,0.733333333
30,79,1.875
30,80,1.875
30,81,1.5
30,82,1.5
30,83,0.875
30,84,0.875
30,85,1.5
30,86,1.5
30,87,2.166666667
30,88,2.166666667
30,89,1.583333333
30,90,1.583333333
30,91,1.583333333
30,92,1.5
30,93,1.5
30,94,1.5
30,95,1.5
30,96,2.333333333
30,97,2.333333333
30,98,1.5
30,99,1.5
30,100,1.166666667
30,101,1.166666667
30,102,1
30,103,1
30,104,0.555555556
30,105,0.555555556
30,106,0.555555556
30,107,2.166666667
30,108,2.166666667
30,109,2.166666667
30,110,0.75
30,111,0.75
30,112,1
30,113,1
30,114,1
30,115,0.5
30,116,0.5
30,117,0.5
30,118,0.5
30,119,0
30,120,0
30,121,0
30,122,0
30,123,0
30,124,0
30,125,0
30,126,0
30,127,0
30,128,0
30,129,0
30,130,0
30,131,0
30,132,0
30,133,0
30,134,0
30,135,0
30,136,0
30,137,0
30,138,0
30,139,0
30,140,0
30,141,0
30,142,0
30,143,0
30,144,0
30,145,0
30,146,0
30,147,0
30,148,0
30,149,0
30,150,0
30,151,0
30,152,0
30,153,0
30,154,0
30,155,0
30,156,0
30,157,0
30,158,0
30,159,0
30,160,0
