stage,temperature_c,mean_duration_days,conditional_survival
Egg,17,24.42105263,0.522727273
N1,17,9.058823529,0.1
N2,17,17.66666667,0.125
N3,17,,
N4,17,,
N5,17,,
Egg,20,13.51724138,0.886363636
N1,20,5.293103448,0.872881356
N2,20,12.70588235,0.298076923
N3,20,11.13333333,0.40625
N4,20,8.833333333,0.928571429
N5,20,7.666666667,0.642857143
Egg,25,7.633333333,0.916666667
N1,25,3.033333333,0.959016393
N2,25,10.39655172,0.838983051
N3,25,9.428571429,0.69
N4,25,8.794117647,0.642857143
N5,25,8.181818182,0.934782609
Egg,30,5.516666667,0.916666667
N1,30,2.516666667,0.959016393
N2,30,7.362068966,0.533898305
N3,30,4.580645161,0.765625
N4,30,5.75,0.66
N5,30,7,0.794117647
Egg,33,4.958333333,0.053030303
N1,33,2.333333333,0.875
N2,33,3,0.625
N3,33,5.5,0.833333333
N4,33,6.5,0.833333333
N5,33,7,0.833333333
Egg,35,4.5,0.007575758
N1,35,,
N2,35,,
N3,35,,
N4,35,,
N5,35,,
